Old Fashioned Chocolate Cake | 111 | 87 | 4.53999996185303 | 1 h 15 m | ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Desserts; Chocolate
Lemon Chiffon Cake | 144 | 87 | 4.51546382904053 | 3 h | 1 3/4 cups cake flour; 1 tablespoon baking powder; 1 teaspoon salt; 1/2 cup white sugar; 1/2 cup vegetable oil; 6 egg yolks; 3/4 cup water; 1 tablespoon lemon zest; 6 egg whites; 1/2 teaspoon cream of tartar; 3/4 cup white sugar; 1 cup heavy whipping cream; 2 1/2 cups lemon pie filling; 8 slices lemon | Preheat oven to 350 degrees F (175 degrees C).; In a large bowl, combine flour, baking powder, salt, and 1/2 cup sugar. Add oil, egg yolks, water and lemon rind. Beat with an electric mixer until smooth.; In a small bowl, beat egg whites and cream of tartar until peaks form. Gradually add 3/4 cup sugar, and beat until very stiff and shiny peaks form. Fold 1/3 of the whites into the batter, then quickly fold in remaining whites until no streaks remain. Turn batter into ungreased 10-inch tube pan.; Bake at 350 degrees F (175 degrees C) for 60 minutes or until a toothpick inserted in the center comes out clean. Invert cake and cool completely in pan. When cool, loosen edges and shake pan to remove cake.; To Make Filling: Beat cream to stiff peaks. Fold in lemon filling. Chill until stiff.; To Assemble Cake: Slice cake horizontally into 3 equal layers. Fill layers with 1/3 cup of filling. Spread remaining filling on top layer. Decorate with lemon slices. | Home; Recipes; Desserts; Fruit Desserts; Lemon Desserts
White Fruit Cake | 168 | 87 | 4.81443309783936 | 10 h 35 m | 1 1/2 cups candied pineapple chunks; 3 cups golden raisins; 1 1/2 cups candied cherries; 1 cup dried currants; 2 ounces candied orange peel; 2 ounces candied citron peel; 1/2 cup orange juice; 2 cups butter; 4 cups confectioners' sugar; 8 eggs, separated; 4 cups pecans, chopped; 3 cups sifted all-purpose flour | Chop pineapple, raisins, and cherries. Combine chopped fruit with currants, orange peel, and citron; soak in orange juice overnight.; Preheat oven to 275 degrees F (135 degrees C). Place a small pan of water in the oven. Line one 5x9 inch loaf pan and two 3x8 inch loaf pans with parchment or doubled waxed paper.; In a large bowl, cream butter and confectioner's sugar. Stir in beaten egg yolks. Stir in fruit, juice, and pecans. Mix in sifted flour.; In a clean bowl, beat the egg whites to peaks. Fold into batter. Fill pans 2/3 full.; Bake for 2 to 2 1/2 hours until golden brown, or until toothpick comes out clean when inserted. | Home; Recipes; Desserts; Cakes; Holiday Cakes
Mother's Applesauce Cake | 160 | 84 | 4.70408153533936 | 3 h | 3 1/2 cups all-purpose flour; 1/2 teaspoon salt; 2 teaspoons ground cinnamon; 1 teaspoon ground cloves; 3 teaspoons baking soda; 1/2 cup butter; 2 cups packed brown sugar; 2 eggs, beaten; 3 cups unsweetened applesauce; 1/2 cup raisins; 1/2 cup dates, pitted and chopped; 1 cup chopped walnuts; 1/2 cup butter; 1 cup packed brown sugar; 1/4 cup milk; 1 teaspoon vanilla extract; 2 cups sifted confectioners' sugar | Preheat oven to 300 degrees F (150 degrees C). Grease and flour a tube pan.; Whisk together flour, salt, cinnamon, cloves, and soda. Set aside.; Cream together 1/2 cup butter and 2 cups brown sugar, beating until light and fluffy. Mix in eggs. Add flour mixture into creamed mixture alternately with applesauce, beginning and ending with flour mixture. Stir in the raisins, dates, and walnuts. Pour batter into prepared pan.; Bake in preheated oven until a tester inserted in the center of the cake comes out clean, about 1 1/2 hours. Cool on wire rack.; To make icing, melt 1/2 cup butter or margarine in a small saucepan over low heat; stir in 1 cup brown sugar. Boil for 2 minutes. Stir in milk, and continue to stir until the mixture returns to a boil. Remove from heat, and cool for 5 minutes. Beat in vanilla and confectioners' sugar. Frost cooled cake. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Chocolate Puffed Wheat Squares | 154 | 78 | 3.5 | 45 m | 8 cups puffed wheat cereal; 3 tablespoons unsweetened cocoa powder; 1/3 cup corn syrup; 1/4 cup packed brown sugar; 1/3 cup butter or margarine | Place puffed wheat in a large bowl, and set aside. Grease one 9x9 inch pan.; Grease the rim of a medium saucepan to prevent boil-over. Place the cocoa powder, corn syrup, brown sugar, and butter or margarine in the saucepan. Cook over medium heat, stirring often until mixture comes to a full boil. Allow to boil for 1 minute, and then remove from heat.; Pour chocolate mixture over puffed wheat, and stir until puffed wheat is evenly coated. Using a buttered spatula, press mixture into the prepared pan. Allow to cool, then cut as desired. Wrap squares individually, or store in an airtight container. | Home; Recipes; Desserts; Cookies; No-Bake Cookies
Raspberry Pie III | 164 | 85 | 4.70103073120117 | 7 h 10 m | 1 recipe pastry for a 9 inch double crust pie; 4 cups raspberries; 1 cup white sugar; 2 1/2 tablespoons tapioca; 1 tablespoon lemon juice; 1/4 teaspoon ground cinnamon; 1/8 teaspoon salt; 4 teaspoons butter; 1 tablespoon half-and-half cream | Preheat oven to 425 degrees F (220 degrees C).; Mix together the raspberries, sugar, tapioca, lemon juice, cinnamon, and salt until raspberries are well-covered.; Pour into 9 or 10-inch pastry shell. Dot with butter; add top crust and crimp edge.; Make slits in the top crust and brush with cream. Bake in the preheated oven for 15 minutes to set the crust. Reduce heat to 375 degrees F (190 degrees C) and bake until crust is golden and filling is bubbly, about 25 minutes more. Allow pie to cool completely before serving. | Home; Recipes; Desserts; Pies; Fruit Pies; Raspberry Pie
Dishpan Cookies II | 96 | 83 | 4.68041229248047 | 1 h 25 m | 2 cups margarine; 2 cups white sugar; 2 cups packed brown sugar; 4 eggs; 4 cups all-purpose flour; 2 teaspoons baking soda; 1 teaspoon baking powder; 1 teaspoon salt; 4 cups cornflakes cereal; 1 1/2 cups rolled oats; 2 cups flaked coconut; 3 cups semisweet chocolate chips | Preheat oven to 350 degrees F (175 degrees C).; In a large bowl, cream together the margarine, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, mixing well after each addition. Sift together the flour, baking soda, baking powder, and salt; stir into the creamed mixture until just blended. Then mix in the corn flakes cereal, rolled oats, coconut, and chocolate chips. Drop by heaping spoonfuls onto ungreased cookie sheets.; Bake for 8 to 10 minutes in the preheated oven, or until edges are lightly browned. Cool on wire racks. | Home; Recipes; Desserts; Cookies; Oatmeal Cookies
Grandma's Butterscotch Pie | 178 | 79 | 4.17525768280029 | 1 h | 1 cup packed light brown sugar; 4 tablespoons cornstarch; 1/2 teaspoon salt; 2 cups milk; 2 egg yolks, beaten; 1 tablespoon butter; 1 teaspoon vanilla extract; 1 (9 inch) pie crust, baked | In top of double boiler, combine brown sugar, cornstarch, salt and milk. Cook, stirring constantly, until mixture starts to thicken, about 20 minutes.; Whisk in egg yolks; continue to cook and stir until filling is thickened.; While pudding mixture is cooking, preheat the oven to 400 degrees F (200 degrees C).; Remove filling from heat, and stir in butter and vanilla.; Pour filling into prepared pie crust. Bake in preheated oven until top begins to brown, about 5 minutes. | Home; Recipes; Desserts; Pies; Custard and Cream Pies
Carrot Cake II | 151 | 79 | 4.30208349227905 | 1 h | 6 egg whites; 1 1/3 cups white sugar; 1 cup applesauce; 1/2 cup skim milk; 1 1/2 teaspoons vanilla extract; 1/4 teaspoon ground cloves; 1/2 teaspoon ground nutmeg; 1 tablespoon ground cinnamon; 2 teaspoons baking soda; 1 cup whole wheat flour; 1 cup all-purpose flour; 1 (8 ounce) can crushed pineapple with juice; 2 cups shredded carrots; 1/2 cup chopped walnuts; 1/2 cup raisins | Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9X13 inch pan with non-fat cooking spray.; In large mixing bowl, beat egg whites. Slowly beat in sugar, then applesauce, skim milk, and vanilla. Stir in cloves, nutmeg, cinnamon, baking soda, and flour. Stir in, one ingredient at a time, pineapple (with juice), carrots, walnuts, and raisins. Pour into the prepared pan.; Bake for 35 - 40 minutes in the preheated oven. It is done when toothpick inserted in center comes out clean. | Home; Recipes; Desserts; Cakes; Sheet Cake
Amaretto Cheesecake I | 112 | 74 | 4.34020614624023 | 1 h 30 m | 1 cup graham cracker crumbs; 3 tablespoons white sugar; 3 tablespoons butter; 2 (8 ounce) packages cream cheese; 1 1/4 cups white sugar; 3 tablespoons cornstarch; 1 (16 ounce) container sour cream; 1 1/2 teaspoons vanilla extract; 5 tablespoons amaretto liqueur; 1/2 teaspoon salt; 4 eggs | Preheat oven to 350 degrees F (175 degrees C).; Mix together the graham cracker crumbs and the 3 tablespoons white sugar. Add the melted butter and mix well. Press into the bottom of a 9 inch springform pan. Bake in preheated oven for 10 minutes, set aside.; In a large bowl, combine cream cheese, sugar, and cornstarch, and mix until smooth. Add sour cream, vanilla, amaretto liqueur, and salt. Mix until well blended. On low speed of an electric mixer, add eggs one at a time, mixing well after each addition. Pour batter over crust.; Bake in preheated oven for 60 minutes. Remove from oven. Loosen around the edges with a knife and cool on a wire rack while still in pan. Refrigerate, remove from pan when completely chilled. | Home; Recipes; Desserts; Specialty Desserts; Liqueur Desserts; Amaretto
Brownie Pudding | 89 | 77 | 3.95833325386047 | 45 m | 1/2 cup all-purpose flour; 1 teaspoon baking powder; 1/2 teaspoon salt; 1/2 cup white sugar; 1 tablespoon unsweetened cocoa powder; 1 tablespoon shortening, melted; 1/2 teaspoon vanilla extract; 1/4 cup milk; 1/2 cup chopped pecans; 1 cup brown sugar; 1 tablespoon unsweetened cocoa powder; 1 cup boiling water | Preheat oven to 350 degrees F (175 degrees C).; In a medium bowl, combine flour, baking powder, salt, white sugar and 1 tablespoon cocoa. Stir in shortening, vanilla and milk until smooth. Fold in nuts. Spread mixture in a 1 quart baking dish.; Stir together brown sugar, 1 tablespoon cocoa and boiling water. Pour carefully over pudding mixture in baking dish.; Bake in preheated oven 30 to 45 minutes, until set. | Home; Recipes; Desserts; Custards and Puddings; Chocolate Pudding
Easy Toffee | 156 | 86 | 4.71875 | 30 m | 1 (10 ounce) package saltine crackers; 1 cup butter; 1 cup light brown sugar; 1 (12 ounce) package semisweet chocolate chips; 1 cup slivered almonds | Preheat oven to 325 degrees F (165 degrees C). Grease a baking sheet. Line baking sheet with saltine crackers, edges touching.; In a medium saucepan, combine butter and brown sugar and cook until mixture reaches 235 degrees F (112 degrees C) or a small amount of mixture dropped into cold water forms a small ball that flattens when placed on a flat surface. Pour mixture over crackers and spread evenly.; Bake in preheated oven 15 minutes. Sprinkle chocolate chips over hot toffee. When chips turn glossy, spread evenly with spatula. Sprinkle with almonds. Freeze 20 minutes before serving. | Home; Recipes; Desserts; Chocolate
Southern Moon Pies | 103 | 82 | 4.52083349227905 | 38 m | 1/2 cup butter, softened; 1 cup white sugar; 1 egg; 1 cup evaporated milk; 1 teaspoon vanilla extract; 2 cups all-purpose flour; 1/2 teaspoon salt; 1/2 cup unsweetened cocoa powder; 1 1/2 teaspoons baking soda; 1/2 teaspoon baking powder; 1/2 cup butter, softened; 1 cup confectioners' sugar; 1/2 teaspoon vanilla extract; 1 cup marshmallow creme | Preheat oven to 400 degrees F (200 degrees C). Lightly grease a cookie sheet.; To Make Cookie Crusts: In a large mixing bowl, cream together 1/2 cup butter or margarine and white sugar. Add egg, evaporated milk, and vanilla. Mix well. In a separate bowl, mix together flour, salt, cocoa powder, baking soda, and baking powder. Add flour mixture slowly to sugar mixture while stirring. Mix just until all ingredients are combined.; Drop the dough onto greased cookie sheet by rounded tablespoonfuls. Leave at least 3 inches in between each one; dough will spread as it bakes.; Bake in preheated oven for 6 to 8 minutes, until firm when pressed with finger. Allow to cool at least one hour before filling.; To Make Marshmallow Filling: In a medium mixing bowl, blend together 1/2 cup butter or margarine, confectioners' sugar, flavored extract, and marshmallow creme. Mix until smooth. Assemble pies by spreading 1 to 2 tablespoonfuls of filling on flat side of a cookie crust, then covering filling with flat side of another cookie crust. | Home; Recipes; Desserts; Cookies; Sandwich Cookies
Mulberry Pie | 126 | 86 | 4.51041650772095 | 1 h 30 m | 3 cups mulberries; 1 1/4 cups white sugar; 1/4 cup all-purpose flour; 1 recipe pastry for a 9 inch double crust pie; 2 tablespoons butter; 1 tablespoon milk | Preheat oven to 400 degrees F (200 degrees C).; In a large bowl, mix berries with sugar and flour. Place mixture into bottom pie crust. Dot with butter and then cover with top pie crust. Crimp edges, cut slits in upper crust, and brush with milk. Let pie rest in refrigerator for 30 minutes.; Bake pie in preheated oven for 15 minutes. Lower oven temperature to 350 degrees F (175 degrees C) and bake for an additional 30 minutes. Remove pie from oven and let sit on wire rack until cool. | Home; Recipes; Desserts; Pies; Fruit Pies
Applesauce Cake VI | 116 | 84 | 4.46875 | 1 h 30 m | 3 cups all-purpose flour; 3 teaspoons baking powder; 2 teaspoons baking soda; 1/2 teaspoon salt; 2 teaspoons ground cinnamon; 4 eggs; 2 cups white sugar; 1 1/2 cups vegetable oil; 2 cups applesauce; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10 inch tube pan. Sift together the flour, baking powder, baking soda, salt and cinnamon. Set aside.; In a large bowl, mix together the flour, baking powder, baking soda, salt and cinnamon. Make a well in the center and pour in the eggs, sugar, oil, applesauce and vanilla. Mix well and pour into prepared pan.; Bake in the preheated oven for 50 to 60 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Cannoli | 218 | 84 | 4.34020614624023 | 3 h 45 m | 3 cups all-purpose flour; 1/4 cup white sugar; 1/4 teaspoon ground cinnamon; 3 tablespoons shortening; 1 egg; 1 egg yolk; 1/2 cup sweet Marsala wine; 1 tablespoon distilled white vinegar; 2 tablespoons water; 1 egg white; 1 quart oil for frying, or as needed; 1 (32 ounce) container ricotta cheese; 1/2 cup confectioners' sugar; 1 teaspoon lemon zest, or to taste; 4 ounces semisweet chocolate, chopped (optional) | In a medium bowl, mix together the flour, sugar and cinnamon. Cut in the shortening until it is in pieces no larger than peas. Make a well in the center, and pour in the egg, egg yolk, Marsala wine, vinegar and water. Mix with a fork until the dough becomes stiff, then finish it by hand, kneading on a clean surface. Add a bit more water if needed to incorporate all of the dry ingredients. Knead for about 10 minutes, then cover and refrigerate for 1 to 2 hours.; Divide the cannoli dough into thirds, and flatten each one just enough to get through the pasta machine. Roll the dough through successively thinner settings until you have reached the thinnest setting. Dust lightly with flour if necessary. Place the sheet of dough on a lightly floured surface. Using a form or large glass or bowl, cut out 4 to 5 inch circles. Dust the circles with a light coating of flour. This will help you later in removing the shells from the tubes. Roll dough around cannoli tubes, sealing the edge with a bit of egg white.; Heat the oil to 375 degrees F (190 degrees C) in a deep-fryer or deep heavy skillet. Fry shells on the tubes a few at a time for 2 to 3 minutes, until golden. Use tongs to turn as needed. Carefully remove using the tongs, and place on a cooling rack set over paper towels. Cool just long enough that you can handle the tubes, then carefully twist the tube to remove the shell. Using a tea towel may help you get a better grip. Wash or wipe off the tubes, and use them for more shells. Cooled shells can be placed in an airtight container and kept for up to 2 months. You should only fill them immediately or up to 1 hours before serving.; To make the filling, stir together the ricotta cheese and confectioners' sugar using a spoon. Fold in lemon zest and chocolate. Use a pastry bag to pipe into shells, filling from the center to one end, then doing the same from the other side. Dust with additional confectioners' sugar and grated chocolate for garnish when serving. | Home; Recipes; World Cuisine; European; Italian
Coconut-Lime Cheesecake with Mango Coulis | 119 | 77 | 4.38541650772095 | 9 h 30 m | 3/4 cup sweetened flaked coconut; 3/4 cup crushed gingersnap cookies; 3 tablespoons melted butter; 2 (8 ounce) packages cream cheese, softened; 1 (10 ounce) can sweetened condensed milk; 2 eggs; 1 tablespoon lime zest; 2 tablespoons lime juice; 1 tablespoon coconut extract; 2 cups cubed fresh mango; 1 teaspoon white sugar, or more to taste | Preheat oven to 325 degrees F (165 degrees C). Lightly grease a 9-inch springform pan.; Combine the coconut, gingersnap cookies, and melted butter in a bowl; mix until evenly moistened. Press the cookie mixture into the bottom and slightly up the sides of the prepared pan.; Bake the crust in the preheated oven until browned and set, about 10 minutes. Set aside to cool.; Reduce oven heat to 300 degrees F (150 degrees C).; Beat the softened cream cheese in mixer bowl until smooth. With beater set to medium-low, slowly pour the condensed milk into the bowl, mixing only until just blended, stopping to scrape the sides of the bowl as necessary. Add the eggs, individually, allowing the first to blend into the mixture before adding the second; again, scrape the sides of the bowl as necessary.; Pour about half of the cream cheese batter into a separate bowl. Stir the lime juice and lime zest into the portion in the new bowl; pour the batter over the crust in the springform pan, smoothing into an even layer.; Stir the coconut extract through the remaining cream cheese batter; pour over the lime-flavored batter in the springfom pan, smoothing into an even layer.; Bake in the preheated oven until the top of the cheesecake springs back when gently pressed, about 45 minutes. Turn oven heat off, but leave cheesecake inside with oven door slightly ajar until the oven cools completely. Refrigerate until completely chilled.; Prepare mango coulis by pureeing the mango with sugar until smooth. If too thick, add a teaspoon of water at a time, using just enough to make pourable. Drizzle over cheesecake when plated. | Home; Recipes; World Cuisine; Latin American; Caribbean
Cinco de Chili Chocolate Cupcakes with Chili Cream Cheese Frosting | 177 | 79 | 4.39583349227905 | 1 h 18 m | 1 (18.25 ounce) box devil's food chocolate cake mix; 1 1/2 teaspoons ground ancho chile pepper; 1/4 teaspoon cayenne pepper; 1 1/4 cups water; 1/3 cup vegetable oil; 3 eggs; 1 teaspoon ground ancho chile pepper; 1/8 teaspoon cayenne pepper; 1/2 teaspoon ground cinnamon; 4 cups confectioners' sugar, or more as needed; 1 (8 ounce) package cream cheese, softened; 1/2 cup butter, softened; 1/2 teaspoon clear vanilla extract, or to taste; 24 small dried red chiles | Preheat oven to 350 degrees F (175 degrees C). Line 24 cupcake cups with paper liners.; Empty the boxed cake mix into a mixing bowl, and whisk in 1 1/2 teaspoon of ground ancho chile and 1/4 teaspoon of cayenne pepper. Using an electric mixer on medium speed, beat in the water, vegetable oil, and eggs; beat for 2 minutes. Spoon the batter into the prepared cupcake cups, filling them 2/3 full.; Bake in the preheated oven until a toothpick inserted into the center of a cupcake comes out clean, 18 to 22 minutes. Remove and cool completely before frosting.; In a bowl, sift 1 teaspoon of ground ancho chile, 1/8 teaspoon of cayenne pepper, and the cinnamon with the confectioners' sugar. Beat in the cream cheese and butter with an electric mixer on medium speed until the frosting is smooth; mix in the vanilla extract. Spread the frosting onto the cooled cupcakes in attractive swirls, and poke a small dried chile, stem-side up, into the frosting as a garnish. | Home; Recipes; World Cuisine; Latin American; Mexican
Best Blueberry Buckle | 177 | 82 | 4.85263156890869 | 1 h | 2 cups all-purpose flour; 2 teaspoons baking powder; 1/2 teaspoon salt; 1/4 cup unsalted butter; 3/4 cup white sugar; 1 large egg; 1/2 cup milk; 2 1/2 cups fresh blueberries; 1/2 cup white sugar; 1/3 cup all-purpose flour; 1/2 teaspoon ground cinnamon; 1/4 cup unsalted butter, softened | Preheat oven to 350 degrees F (175 degrees C). Butter and flour a springform pan.; Sift 2 cups flour, baking powder, and salt into a bowl.; Beat 1/4 cup butter, 3/4 cup sugar, and egg with an electric mixer in a large bowl until smooth. Gradually add milk and beat until fluffy; stir in flour mixture, making a stiff batter. Gently fold in blueberries and spread batter into prepared springform pan.; Mix 1/2 cup sugar, 1/3 cup flour, cinnamon, and 1/4 cup butter in a bowl until blended and crumbly in texture. Sprinkle on top of batter, then lightly press topping into batter using fingertips.; Bake in preheated oven until golden and a toothpick inserted in the middle comes out with moist crumbs, about 40 minutes. | Home; Recipes; Desserts; Fruit Desserts; Blueberry Desserts
Eggnog Gingerbread Trifle | 128 | 72 | 4.68421030044556 | 8 h 50 m | 1 (14.5 ounce) package gingerbread cake mix; 3 cups eggnog; 1 (5.1 ounce) package instant vanilla pudding mix; 2 cups heavy cream; 1/4 cup white sugar; 2 teaspoons vanilla extract; 1/4 cup sweetened dried cranberries, chopped (optional); 2 tablespoons gingersnap cookie crumbs (optional) | Prepare gingerbread cake mix and bake according to package directions (any size pan). Cool completely.; Place the pudding mix in a large bowl. Pour in the eggnog and whisk for about 2 minutes. Refrigerate pudding until the gingerbread cake is cool and you are ready to assemble the trifle.; In a large bowl, whip cream until stiff peaks are just about to form. Beat in sugar and vanilla until peaks form.; Crumble 1/2 of the gingerbread into the bottom of a trifle bowl or a large glass bowl. Spread 1/2 of the eggnog pudding over the gingerbread, then spread 1/2 of the whipped cream on top of the pudding. Repeat the layers with the remaining gingerbread, pudding, and whipped cream. Refrigerate 6 hours or overnight. Sprinkle the top with the cranberries and cookie crumbs before serving. | Home; Recipes; Desserts; Specialty Desserts; Trifles
Refreshing Limoncello Cake | 201 | 78 | 4.15789461135864 | 50 m | cooking spray; 1 cup plain yogurt; 2 eggs; 1/3 cup canola oil; 2 tablespoons lemon juice; 2 tablespoons lemon zest; 1 cup sugar; 1/4 cup limoncello liqueur; 2 cups all-purpose flour; 1 1/2 teaspoons baking powder; 1/2 teaspoon baking soda; 1 pinch salt (optional); 3/4 cup confectioners' sugar; 3 tablespoons limoncello liqueur | Preheat oven to 350 degrees F (175 degrees C). Prepare an 8-inch cake pan with cooking spray.; Whisk together the yogurt, eggs, canola oil, lemon juice, lemon zest, sugar, and 4 tablespoons limoncello in a large bowl. In a separate large bowl, mix the flour, baking powder, baking soda, and salt. Gently stir the dry ingredients into the wet. Do not over mix or the cake will be tough. Pour batter into prepared pan.; Bake in the preheated oven until top is golden and a toothpick inserted in the center of the cake comes out clean, about 35 minutes. Remove from oven and allow to cool slightly.; Stir the powdered sugar and 3 tablespoons of limoncello together in a small bowl until smooth. Poke small holes all over the top of the still-warm cake with a fork or toothpick. Spoon the glaze over the cake and spread with the back of a spoon. The glaze will seep into the cake and add moisture. | Home; Recipes; World Cuisine; European; Italian
Classic Pecan Pie | 269 | 74 | 4.7684211730957 | 3 h 15 m | 1 cup Karo® Light Corn Syrup*; 3 eggs; 1 cup sugar; 2 tablespoons butter, melted; 1 teaspoon Spice Islands® Pure Vanilla Extract; 1 1/2 cups pecans; 1 (9 inch) unbaked deep dish pie crust | Mix corn syrup, eggs, sugar, butter and vanilla using a spoon. Stir in pecans.; Pour into pie crust.; Bake at 350 degrees F on center rack of oven for 60 to 70 minutes.; Cool for 2 hours before serving. | Home; Recipes; Trusted Brands: Recipes and Tips; ARGO®, KARO®, FLEISCHMANN'S®
Pineapple Orange Sorbet | 94 | 77 | 4.35789489746094 | 3 h | 1/2 cup water; 1/2 cup granulated sugar; 2 cups orange juice; 1 tablespoon lemon juice; 1 (20 ounce) can crushed pineapple; 2 teaspoons freshly grated orange zest | In a medium saucepan, bring water and sugar to a simmer over medium high heat until sugar is dissolved.; In a food processor, puree pineapple with its juice until smooth. Transfer to a metal bowl, and stir in syrup, lemon juice, orange juice, and orange zest. Freeze until slightly firm, but not frozen.; Process mixture again in the food processor or beat with an electric mixer until smooth. Transfer to a freezer container and freeze until firm, about 2 hours. | Home; Recipes; Desserts; Fruit Desserts; Pineapple Desserts
White Chocolate Blueberry Cheesecake | 140 | 77 | 4.71578931808472 | 1 h 20 m | 2 cups crushed graham crackers; 1 cup slivered almonds; 1/2 cup white sugar; 1/4 cup clarified butter, melted; 2 tablespoons caramel topping; 1 pound white chocolate, chopped; 4 (8 ounce) packages cream cheese, softened; 3/4 cup white sugar; 4 eggs, beaten; 2 egg yolks; 1 tablespoon all-purpose flour; 1 teaspoon vanilla extract; 1/2 cup white sugar; 1 teaspoon cornstarch; 1/4 cup water; 1 pint fresh blueberries; 2 teaspoons lemon juice | Preheat oven to 275 degrees F (135 degrees C). Make the crust: In a food processor, blend together the graham cracker crumbs, almonds and sugar until the almonds are ground fine. Pour in the melted butter and caramel while processing, until mixture is combined. Press the mixture onto the bottom, and half way up the side of a 10 inch springform pan.; Make the filling: In a metal bowl over a pan of barely simmering water, melt the white chocolate, stirring until smooth. Remove from heat and set aside. In a large bowl, beat the cream cheese and 3/4 cup sugar until smooth. Beat in the eggs and the egg yolks, one at a time. Beat in the flour and the vanilla and blend in the melted white chocolate slowly, beating until the filling is well combined. Pour filling into crust.; Bake in the middle of preheated oven for 1 hour. Then turn off the heat, and crack the oven door an inch, letting the cheesecake cool in the oven to room temperature. Cover loosely and refrigerate overnight before removing from pan.; Make the topping: In a saucepan, combine 1/2 cup sugar and cornstarch. Stir in water and blueberries. Bring to a boil, then simmer for 10 minutes, stirring occasionally. Press through a fine sieve. Stir in lemon juice, allow to cool, and store in a glass jar. | Home; Recipes; Desserts; Fruit Desserts; Blueberry Desserts
Crispy Rice Candy | 91 | 83 | 4.68421030044556 | 2 h 15 m | 2 cups crispy rice cereal; 2 cups dry roasted peanuts; 2 cups miniature marshmallows; 1 cup crunchy peanut butter; 2 pounds white chocolate, chopped | In a large bowl, combine cereal, peanuts, marshmallows and peanut butter. Stir until evenly mixed.; In a microwave-safe bowl, or in a double boiler, cook chocolate until melted. Stir occasionally until chocolate is smooth. Stir chocolate into cereal mixture. Mixture will be slightly runny.; Drop by tablespoons onto waxed paper. Let set until firm, 2 hours. Store in an airtight container. | Home; Recipes; Desserts; Chocolate; White Chocolate
Rice Pudding | 169 | 81 | 3.91578936576843 | 3 h 40 m | 2 quarts whole milk; 3/4 cup long-grain rice; 3 eggs; 1/2 cup white sugar; 1 cup whole milk; 1 teaspoon vanilla extract; 3/4 cup raisins; 1 tablespoon ground cinnamon | Pour 2 quarts milk into a large saucepan and bring to a boil over medium heat. Reduce heat to low, then mix in rice and simmer uncovered for 20 minutes, stirring frequently and skimming surface of milk as needed.; In a medium bowl, whisk together eggs, sugar, milk, and vanilla extract. Slowly pour into rice mixture while stirring vigorously. Allow mixture to boil and thicken, approximately 10 minutes, while stirring constantly.; Remove from heat and stir in raisins. Pour mixture into a 9x13 pan and sprinkle cinnamon over top. Allow to cool uncovered in refrigerator for a few hours, until pudding is chilled and firm. Cover with plastic wrap when cool. | Home; Recipes; Desserts; Custards and Puddings; Rice Pudding
English Trifle to Die For | 120 | 79 | 4.73684215545654 | 2 h 45 m | 1 (9 inch) sponge cake, cut in cubes; 1 cup seedless raspberry jam; 8 ounces fresh raspberries; 10 fluid ounces heavy cream; 3 egg yolks; 3 tablespoons white sugar; 10 fluid ounces heavy cream; 2 ounces sliced almonds | Spread a little jam on each piece of cake and place in the bottom of a large glass bowl. Sprinkle raspberries over cake.; Heat 10 fl. oz. cream in a medium saucepan over medium heat. While the cream is heating, beat the egg yolks with the sugar until pale yellow and smooth. Strain yolk mixture into a clean bowl. Pour hot cream into egg yolks and stir vigorously. Return mixture to pan over low heat and cook, stirring, until thick enough to coat the back of a metal spoon. Remove from heat and allow to cool.; While custard is cooling, whip 10 fl oz. cream until soft peaks form. Place almonds on a baking sheet and toast, in a 300 degree oven or toaster oven, stirring frequently, until golden, 2 to 10 minutes.; Spread cooled custard over cake in bowl. Top with whipped cream and toasted almonds. Chill 2 hours before serving. | Home; Recipes; World Cuisine; European; UK and Ireland; English
Lighter Snickerdoodles | 87 | 75 | 4.37894725799561 | 1 h 50 m | 1/4 cup butter; 1 1/2 cups white sugar; 4 ounces lowfat cream cheese; 1 egg; 2 egg whites; 2 3/4 cups all-purpose flour; 2 teaspoons cream of tartar; 1 teaspoon baking soda; 1/4 teaspoon salt; 1/4 cup white sugar; 2 teaspoons ground cinnamon | In a large bowl, cream together the butter, 1 1/2 cups of white sugar, and cream cheese. Beat in the egg and egg whites until smooth. Sift together the flour, cream of tartar, baking soda, and salt; stir into the creamed mixture. Cover, and refrigerate dough for at least 1 hour.; Preheat oven to 400 degrees F (200 degrees C). In a small dish, mix together the remaining white sugar and the cinnamon. Roll the dough into walnut sized balls, and roll the balls in the cinnamon and sugar mixture. Place the balls at least 2 inches apart on cookie sheets, and flatten slightly.; Bake for 8 to 10 minutes in the preheated oven. Remove from cookie sheets to cool on wire racks. | Home; Recipes; Desserts; Cookies; Snickerdoodles
